
id tname tgrade 1  tgrade 2 tgrade 3 tgrade 4 tfinal grade tapproved

1	Tanner Terry	7.3	7.9	6.2	6.7	7.0	Y
2	Everett Bush	8.3	4.5	7.3	0.8	5.2	N
3	Mason Cherry	6.8	5.5	3.5	6.3	5.5	N
4	Michael Odonnell	3.1	4.5	8.4	9.1	6.3	N
5	Jacqueline Dotson	6.9	3.9	6.8	8.1	6.4	N
6	Bradshaw Carlson	8.1	9.8	7.7	7.9	8.4	Y
7	Page Bartlett	6.3	5.1	7.9	2.0	5.3	N
8	Ollie Soto	0.6	6.5	9.0	9.6	6.4	N
9	Morgan Finch	4.2	9.7	2.3	4.6	5.2	N
10	Dena Lara	8.4	1.5	0.9	2.2	3.3	N
11	Glass Mcdonald	8.1	9.0	0.6	3.1	5.2	N
12	Velazquez Lester	0.8	2.6	4.9	4.2	3.1	N
13	Nona Bass	1.5	1.7	4.6	1.1	2.2	N
14	Stafford Mcguire	5.5	9.5	3.7	7.9	6.7	N
15	Sabrina Reese	6.6	6.8	5.3	4.8	5.9	N
16	Jaclyn Jones	4.2	0.9	1.8	0.5	1.9	N
17	Payne Casey	8.0	0.3	5.9	1.7	4.0	N
18	Knox Mccray	5.8	5.9	5.4	6.4	5.9	N
19	Leola Maynard	2.7	8.4	5.6	9.5	6.6	N
20	Burnett Wall	0.2	3.4	2.2	2.3	2.0	N
21	Cabrera Bird	4.1	9.8	7.7	0.9	5.6	N
22	Rivera Hughes	2.4	0.5	7.3	9.0	4.8	N
23	Rocha Valentine	9.9	8.0	0.9	8.8	6.9	N
24	Lisa Walters	7.6	7.4	8.3	1.2	6.1	N
25	Foley Palmer	7.4	4.6	7.1	8.3	6.9	N
26	Mccall Calderon	7.9	4.5	9.2	5.2	6.7	N
27	Mayer Baker	7.6	7.6	9.6	5.5	7.6	Y
28	Rowland Valdez	8.8	3.3	5.8	1.5	4.9	N
29	Maldonado Moore	5.9	5.3	4.4	4.0	4.9	N
30	George Woods	4.4	7.6	3.1	6.4	5.4	N
31	Nguyen Morrow	5.0	4.6	9.8	7.5	6.7	N
32	Angelia Berg	1.1	3.6	3.3	0.5	2.1	N
33	Velma Howe	4.6	4.1	8.8	8.4	6.5	N
34	Wiggins Nieves	8.1	6.3	9.2	9.1	8.2	Y
35	Valenzuela Johns	7.2	6.5	5.7	5.1	6.1	N
36	Cleo Castaneda	6.9	0.6	5.0	9.0	5.4	N
37	Kemp Mccullough	2.6	4.8	8.0	1.0	4.1	N
38	Henderson Jensen	0.5	5.8	8.9	5.2	5.1	N
39	Parsons Romero	4.4	7.9	7.1	3.8	5.8	N
40	Juana Ward	1.3	9.9	3.1	5.3	4.9	N
41	Hall Burnett	5.2	4.1	9.9	7.3	6.6	N
42	Jane Crane	2.6	9.2	9.6	5.4	6.7	N
43	Petra Patton	8.3	8.8	6.6	6.5	7.6	Y
44	Dalton Tyson	5.1	4.4	3.6	3.7	4.2	N
45	Lillian Holden	8.2	5.1	0.0	6.1	4.8	N
46	Gale Wilcox	0.8	2.4	6.9	6.0	4.0	N
47	Francis Russo	7.2	3.5	10.0	7.3	7.0	Y
48	Gould Doyle	9.4	4.3	7.3	7.3	7.1	Y
49	Jana Salazar	4.5	4.9	7.6	3.2	5.0	N
